bin	CDS_total	CDS_hypothetical	X16S	X23S	X5S	unique_tRNA	checkm_marker_lineage	Completeness	Contamination	Strain_heterogeneity	Genome_size_bp	ambiguous_bases	scaffolds	contigs	N50_scaffolds_	N50_contigs_	Mean_scaffold_length_bp	Mean_contig_length_bp	Longest_scaffold_bp	Longest_contig_bp	GC	GC_std_scaffolds__1kbp	Coding_density	predicted_genes	gtdb_classification	fastani_ani	fastani_af	closest_placement_reference	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	msa_percent	red_value	gtdb_warning	silva_taxonomy	mags_workflow_name	mags_workflow_date	mags_workflow_mode	MAG_status	cmseq_covered_bases	cmseq_polymorphic_bases	percent_snp_rate	cMAG_status	kaiju_domain	kaiju_phylum	AMR_count	VIR_count	cov_il	cov_pb	cov_r9	cov_r103	cov_r104	r_abund_il	r_abund_pb	r_abund_r9	r_abund_r103	r_abund_r104	cluster	unalligned_bp	genome_frac	dup_ratio	Ns_per_100kb	MMs_per_100kb	Indels_per_100kb
ilmn_bin.0000	3180	1820	1	0	0	19	k__Bacteria (UID2565)	92.61	0	0	3957846	0	144	144	45211	45211	27485	27485	154927	154927	59.8	1.37	88.52	3284	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalophaeraceae;g__B28-G16;s__	N/A	N/A	GCA_003644175.1	76.25	0.11	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalophaeraceae;g__;s__	taxonomic classification defined by topology and ANI	84.75	0.8940819393419036	N/A	FJ264773.1.1520 Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;uncultured bacterium	ilmn	2021-07-18	Illumina	MQ	3500761	4236	0.121002262079588	N	Bacteria	 Planctomycetes	0	0	15.962562	13.98916	32.168854	12.399905	11.708545	0.2953196	0.3096259	0.2695759	0.2851171	0.32336837	15_1	44740	75.904	1.002	0	34.61	3
ilmn_bin.0001	2317	981	1	0	0	20	p__Firmicutes (UID241)	94.04	2.9	0	2344816	0	174	174	20357	20357	13475	13475	105543	105543	53	2.42	92.82	2425	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU010;g__UBA5420;s__UBA5420 sp012518325	99.58	0.94	GCA_012518325.1	99.58	0.94	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU010;g__UBA5420;s__	taxonomic classification defined by topology and ANI	92.26	N/A	N/A	HQ156145.1.1410 Bacteria;Firmicutes;Limnochordia;MBA03;uncultured prokaryote	ilmn	2021-07-18	Illumina	MQ	2083137	9324	0.447594181275643	N	Bacteria	 Firmicutes	0	0	16.389027	13.542882	29.257364	11.008599	7.468462	0.30320954	0.29974833	0.24517752	0.2531261	0.2062651	133_1	104610	85.673	1.006	0	132.52	4.85
ilmn_bin.0002	1254	690	0	1	0	11	k__Bacteria (UID2569)	69.25	1.88	14.29	1469886	0	321	321	4826	4826	4579	4579	17721	17721	33.9	2.51	92.31	1458	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__WCHB1-69;g__UBA5266;s__UBA5266 sp012519525	99.21	0.88	GCA_012519525.1	99.21	0.88	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__WCHB1-69;g__UBA5266;s__	taxonomic classification defined by topology and ANI	61.68	N/A	N/A	NA	ilmn	2021-07-18	Illumina	MQ	416261	2884	0.692834543711758	N	Bacteria	 Bacteroidetes	1	0	8.007366	4.1108723	21.524555	7.4635835	6.1991544	0.14814241	0.09098707	0.18037638	0.17161384	0.17120919	65_1	115448	53.06	1.003	0	95.01	10.52
ilmn_bin.0003	2168	1540	1	1	2	19	p__Euryarchaeota (UID54)	81.98	5.61	80	2022406	0	809	809	3053	3053	2499	2499	24159	24159	58.2	5.47	86.83	2600	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sp012797575	97.85	0.77	GCA_012797575.1	97.85	0.77	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__	taxonomic classification defined by topology and ANI	76.37	N/A	N/A	AB494253.1.1436 Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;uncultured archaeon	ilmn	2021-07-18	Illumina	MQ	1989461	30046	1.51025830614423	N	Archaea	 Euryarchaeota	0	0	55.41838	3.5201287	119.7344	44.077747	56.616253	1.0252824	0.07791197	1.0033776	1.0135013	1.5636363	22_1	259819	68.369	1.047	0	670.39	38.65
ilmn_bin.0004	1511	871	1	0	1	13	o__Clostridiales (UID1212)	48.47	7.28	0	1576598	0	379	379	4186	4186	4159	4159	14741	14741	47.6	5.95	91.25	1708	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1447;s__	N/A	N/A	GCA_002329225.1	97.34	0.46	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1447;s__	taxonomic classification defined by topology and ANI	39.33	0.9983484541444705	N/A	DQ800002.1.1283 Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Candidatus Soleaferrea;uncultured bacterium	ilmn	2021-07-18	Illumina	LQ	264036	1042	0.394643154721326	N	Bacteria	 Firmicutes	0	0	8.028613	4.68632	14.178069	5.4968514	4.278942	0.14853549	0.10372361	0.11881261	0.1263918	0.11817647	NA	NA	NA	NA	NA	NA	NA
ilmn_bin.0005	2295	1172	0	0	0	19	k__Bacteria (UID209)	95.53	3.79	80	2523618	0	555	555	8511	8511	4547	4547	60036	60036	31.9	5.5	88.63	2718	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__Defluviitoga;s__Defluviitoga tunisiensis	99.0	0.81	GCF_000953715.1	99.0	0.81	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__;s__	taxonomic classification defined by topology and ANI	88.33	N/A	N/A	NA	ilmn	2021-07-18	Illumina	MQ	2358522	17098	0.724945537925871	N	Bacteria	 Thermotogae	2	0	26.294044	22.591352	71.63827	25.094091	20.980488	0.48645994	0.5000206	0.6003307	0.57700074	0.57944226	29_1	1114076	86.853	1.015	0	258.13	16.35
ilmn_bin.0006	2459	1298	0	0	2	19	p__Bacteroidetes (UID2605)	96.19	1.43	0	3077831	0	71	71	80397	80397	43349	43349	162748	162748	44.2	2.12	89.41	2504	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__BBW3;g__MWFE01;s__MWFE01 sp002071445	99.96	0.97	GCA_002071445.1	99.96	0.97	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__BBW3;g__;s__	taxonomic classification defined by topology and ANI	96.15	N/A	N/A	NA	ilmn	2021-07-18	Illumina	MQ	3077151	255	0.00828688614890852	N	Bacteria	 Bacteroidetes	0	0	268.33743	202.2972	773.71387	280.1327	257.23196	4.9644475	4.477499	6.483743	6.4412284	7.104271	90_1	16856	93.906	1.001	0	6.21	0.78
ilmn_bin.0007	2177	1326	0	0	0	20	p__Euryarchaeota (UID49)	98.04	0	0	2292397	0	61	61	51140	51140	37580	37580	125604	125604	53.8	1.62	85.66	2239	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__	taxonomic classification defined by topology and ANI	97.19	0.9705151309289706	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	NA	ilmn	2021-07-18	Illumina	MQ	2288650	759	0.033163655430057	N	Archaea	 Euryarchaeota	0	0	92.69764	136.63918	153.28658	58.678482	42.469585	1.7149773	3.0242722	1.2845458	1.349223	1.1729314	44_1	2560	90.369	1.001	0	13.33	3.58
ilmn_bin.0008	2200	1128	0	0	0	17	k__Bacteria (UID2569)	87.78	0.59	50	2645774	0	523	523	5781	5781	5058	5058	20076	20076	42.1	2.39	90.83	2598	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mariniphaga;s__	N/A	N/A	GCF_900129025.1	76.61	0.18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mariniphaga;s__	taxonomic classification defined by topology and ANI	82.83	0.9623970935289724	N/A	NA	ilmn	2021-07-18	Illumina	MQ	1083918	5576	0.514430058362348	N	Bacteria	 Bacteroidetes	0	0	9.17308	6.136442	16.697046	6.0343394	4.624435	0.16970901	0.13581957	0.13992171	0.13875052	0.12771834	45_1	40485	63.32	1.009	0	209.1	9.49
ilmn_bin.0009	1832	794	1	0	2	20	p__Firmicutes (UID241)	90.68	0.42	0	1846968	0	133	133	21370	21370	13886	13886	67741	67741	52	1.89	89.82	1912	d__Bacteria;p__Firmicutes_H;c__UBA994;o__UBA994;f__UBA5500;g__UBA5500;s__	N/A	N/A	GCA_012727835.1	80.38	0.55	d__Bacteria;p__Firmicutes_H;c__UBA994;o__UBA994;f__UBA5500;g__UBA5500;s__	taxonomic classification defined by topology and ANI	90.17	0.9216928378022745	N/A	JX843678.1.1480 Bacteria;Firmicutes;Thermoanaerobacteria;Thermoanaerobacterales;SRB2;uncultured bacterium	ilmn	2021-07-18	Illumina	MQ	1626126	6456	0.397017205308814	N	Bacteria	 Firmicutes	0	0	15.819084	14.4169855	27.62861	10.739757	8.182251	0.29266515	0.3190951	0.23152852	0.24694449	0.22597864	167_1	10886	72.965	1.006	0	131.72	6.52
